$c^{1}$,$c^{2}$,$c^{3}$,$c^{4}$,$c^{5}$,$y^{1}$,$y^{2}$,$y^{3}$,$y^{4}$,$y^{5}$,$t$,ExpValue,$d_{0}$,$d_{1}$,$d_{2}$,$d_{3}$,$d_{4}$,$d_{5}$,$d_{6}$,$d_{7}$,$d_{8}$,$d_{9}$,$d_{10}$
0,0,1,1,1,0,1,1,1,1,71,3686.38525391,0,0,0,0,2,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,71,3214.53808594,0,0,0,0,1,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,71,2992.66064453,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,71,3214.53808594,0,0,0,0,1,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,71,2312.40698242,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,71,2992.66064453,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,71,2312.40698242,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,70,4025.62695312,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,70,2312.40698242,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,2,2,2,70,3103.00927734,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,1,1,1,70,3720.27612305,0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,70,3796.73339844,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,70,2992.66064453,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,70,2312.40698242,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,70,3214.5378418,0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,70,3686.38476562,0,0,0,0,2,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,70,2992.66064453,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,70,3214.5378418,0,0,0,0,1,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,69,4025.53393555,0,0,0,0,2,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,69,3214.5246582,0,0,0,0,1,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,69,2312.40698242,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,69,2312.40698242,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,69,3796.69238281,0,0,0,0,2,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,69,3214.5246582,0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,69,3686.34375,0,0,0,0,2,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,69,2992.66064453,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,69,2992.66064453,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,2,2,2,69,3103.00927734,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,1,1,1,69,3720.23974609,0,0,0,0,1,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,68,2992.66064453,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,68,3684.97949219,0,0,0,0,2,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,68,4022.44799805,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,68,3795.328125,0,0,0,0,2,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,68,2312.40698242,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,1,1,1,68,3719.02685547,0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,68,2312.40698242,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,2,2,2,68,3103.00927734,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,68,3214.08886719,0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,68,2992.66064453,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,68,3214.08886719,0,0,0,0,1,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,67,2992.66064453,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,67,3667.41699219,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,67,2312.40698242,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,67,3777.765625,0,0,0,0,2,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,67,3983.57299805,0,0,0,0,2,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,67,3208.47558594,0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,67,2992.66064453,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,67,2312.40698242,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,67,3208.47558594,0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,1,0,0,2,2,2,67,3103.00927734,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,1,1,1,67,3703.40966797,0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,66,3673.953125,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,1,0,0,2,2,2,66,3103.00927734,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,66,2312.40698242,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,66,2992.66064453,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,1,1,1,66,3611.03466797,0,0,0,0,1,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,66,3175.28808594,0,0,0,0,1,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,66,3175.28808594,0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,66,2312.40698242,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,66,2992.66064453,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,66,3783.19799805,0,0,0,2,2,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,66,3563.60449219,0,0,0,0,2,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,65,3084.28808594,0,0,0,0,1,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,65,3401.94799805,0,0,0,2,2,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,65,2312.40698242,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,65,2312.40698242,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,65,3278.85449219,0,0,0,2,2,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,65,2992.66064453,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,65,2992.66064453,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,65,3084.28808594,0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,65,3389.203125,0,0,0,2,2,0,0,0,0,0,0
0,1,1,1,1,0,0,1,1,1,65,3357.65966797,0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,1,0,0,2,2,2,65,3103.00927734,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,64,3161.57299805,0,0,0,2,2,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,64,2312.40698242,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,64,2992.66064453,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,64,2312.40698242,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,64,3011.53808594,0,0,0,0,1,0,0,0,0,0,0
0,1,1,1,1,0,0,1,1,1,64,3154.90966797,0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,1,0,0,2,2,2,64,3103.00927734,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,64,2992.66064453,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,64,3161.328125,0,0,0,2,2,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,64,3011.53808594,0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,64,3050.97949219,0,0,0,2,2,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,63,3107.578125,0,0,0,2,2,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,63,2312.40698242,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,63,2992.66064453,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,2,2,2,63,3103.00927734,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,1,1,1,63,3107.09716797,0,0,0,0,1,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,63,2994.36621094,0,0,0,0,1,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,63,3107.60424805,0,0,0,2,2,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,63,2312.40698242,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,63,2997.22949219,0,0,0,2,2,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,63,2992.66064453,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,63,2994.36621094,0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,62,2312.40698242,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,2,2,2,62,3103.00927734,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,2,2,2,62,3103.14453125,0,0,0,2,2,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,62,3103.1706543,0,0,0,2,2,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,62,2312.40698242,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,1,1,1,62,3103.15576172,0,0,0,0,1,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,62,2992.95019531,0,0,0,0,1,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,62,2992.66064453,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,62,2992.79589844,0,0,0,2,2,0,0,0,0,0,0
0,0,1,1,1,0,0,1,1,1,62,2992.66064453,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,62,2992.95019531,0,0,0,0,1,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,61,2992.66064453,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,61,2992.66210938,0,0,0,2,2,0,0,0,0,0,0
