,Value,Successor,Res_Cap1,Res_Cap2,Res_Cap3,Res_Cap4,Time,Best Order,Best Successor,"r[j]-OC[j,c,t]"
104665,0.0,['end'],3,9,3,10,0,0,0,0.0
76474,267.0,"[91235, 77925, 92456, 92566, 77815, 76473]",5,8,5,10,2,4,92456,220.0
91235,145.0,"[92576, 91234, 105996, 92686, 107217, 107327]",4,8,4,10,1,4,107217,220.0
105996,0.0,['end'],3,8,3,10,0,0,0,0.0
92566,145.0,"[94017, 108548, 108658, 93907, 92565, 107327]",4,7,4,10,1,4,108548,220.0
108658,0.0,['end'],3,6,3,10,0,0,0,0.0
107327,0.0,['end'],3,7,3,10,0,0,0,0.0
30870,599.0,"[32321, 46852, 46962, 32211, 30869, 45631]",8,9,8,9,4,3,46962,200.0
32211,422.0,"[48193, 48303, 33552, 32210, 46972, 33662]",8,8,8,8,3,1,46972,100.0
33552,267.0,"[49644, 34893, 33551, 48313, 35003, 49534]",8,7,8,7,2,4,49534,220.0
34893,145.0,"[50985, 36234, 34892, 49654, 36344, 50875]",8,6,8,6,1,4,50875,220.0
36234,0.0,['end'],8,5,8,5,0,0,0,0.0
45631,422.0,"[60392, 47082, 61613, 61723, 46972, 45630]",7,9,7,9,3,1,60392,100.0
60392,267.0,"[76484, 61733, 60391, 75153, 61843, 76374]",6,9,6,9,2,4,76374,220.0
75153,145.0,"[91245, 76494, 75152, 89914, 76604, 91135]",5,9,5,9,1,4,91135,220.0
89914,0.0,['end'],4,9,4,9,0,0,0,0.0
46972,267.0,"[61733, 48423, 62954, 63064, 48313, 46971]",7,8,7,8,2,4,62954,220.0
61733,145.0,"[77825, 63074, 61732, 76494, 63184, 77715]",6,8,6,8,1,4,77715,220.0
76494,0.0,['end'],5,8,5,8,0,0,0,0.0
48313,145.0,"[63074, 49764, 64295, 64405, 49654, 48312]",7,7,7,7,1,4,64295,220.0
63074,0.0,['end'],6,7,6,7,0,0,0,0.0
49654,0.0,['end'],7,6,7,6,0,0,0,0.0
1458,918.0,"[17440, 17550, 2799, 1457, 16219, 2909]",10,9,9,10,6,4,17440,220.0
17550,764.0,"[33642, 18891, 17549, 32311, 19001, 33532]",9,8,8,10,5,3,33642,200.0
33642,599.0,"[49734, 34983, 33641, 48403, 35093, 49624]",8,7,7,10,4,3,49734,200.0
49734,422.0,"[65826, 51075, 49733, 64495, 51185, 65716]",7,6,6,10,3,1,64495,100.0
65826,267.0,"[65825, 80587, 67277, 81808, 81918, 67167]",6,5,5,10,2,4,81808,220.0
81918,145.0,"[96679, 83369, 97900, 98010, 83259, 81917]",5,4,4,10,1,4,97900,220.0
98010,0.0,['end'],4,3,3,10,0,0,0,0.0
2799,764.0,"[18891, 4140, 2798, 17560, 4250, 18781]",10,8,9,9,5,3,18891,200.0
4140,599.0,"[20232, 5481, 4139, 18901, 5591, 20122]",10,7,9,8,4,3,20232,200.0
5481,422.0,"[21573, 6822, 5480, 20242, 6932, 21463]",10,6,9,7,3,1,20242,100.0
6822,267.0,"[22914, 8163, 6821, 21583, 8273, 22804]",10,5,9,6,2,4,22804,220.0
8163,145.0,"[9504, 8162, 22924, 9614, 24145, 24255]",10,4,9,5,1,4,24145,220.0
9504,0.0,['end'],10,3,9,4,0,0,0,0.0
16219,764.0,"[30980, 17670, 32201, 32311, 17560, 16218]",9,9,8,10,5,3,32311,200.0
30980,599.0,"[47072, 32321, 30979, 45741, 32431, 46962]",8,9,7,10,4,3,47072,200.0
45741,422.0,"[61833, 47082, 45740, 60502, 47192, 61723]",7,9,6,10,3,1,60502,100.0
60502,267.0,"[61953, 76484, 76594, 61843, 60501, 75263]",6,9,5,10,2,4,76484,220.0
75263,145.0,"[90024, 76714, 91245, 91355, 76604, 75262]",5,9,4,10,1,4,91245,220.0
90024,0.0,['end'],4,9,3,10,0,0,0,0.0
32311,599.0,"[47072, 33762, 48293, 48403, 33652, 32310]",8,8,7,10,4,3,48403,200.0
47072,422.0,"[61833, 48523, 63054, 63164, 48413, 47071]",7,8,6,10,3,1,61833,100.0
61833,267.0,"[77925, 63174, 61832, 76594, 63284, 77815]",6,8,5,10,2,4,77815,220.0
76594,145.0,"[92576, 92686, 77935, 76593, 91355, 78045]",5,8,4,10,1,4,92576,220.0
91355,0.0,['end'],4,8,3,10,0,0,0,0.0
48403,422.0,"[64385, 64495, 49744, 48402, 63164, 49854]",7,7,6,10,3,1,63164,100.0
64495,267.0,"[80587, 65836, 64494, 79256, 65946, 80477]",6,6,5,10,2,4,80477,220.0
80587,145.0,"[96679, 81928, 80586, 95348, 82038, 96569]",5,5,4,10,1,4,96569,220.0
96679,0.0,['end'],4,4,3,10,0,0,0,0.0
63164,267.0,"[77925, 64615, 79146, 79256, 64505, 63163]",6,7,5,10,2,4,79146,220.0
77925,145.0,"[94017, 79266, 77924, 92686, 79376, 93907]",5,7,4,10,1,4,93907,220.0
92686,0.0,['end'],4,7,3,10,0,0,0,0.0
79256,145.0,"[94017, 80707, 95238, 95348, 80597, 79255]",5,6,4,10,1,4,95238,220.0
94017,0.0,['end'],4,6,3,10,0,0,0,0.0
95348,0.0,['end'],4,5,3,10,0,0,0,0.0
17560,599.0,"[32321, 19011, 33542, 33652, 18901, 17559]",9,8,8,9,4,3,33652,200.0
32321,422.0,"[32320, 47082, 33772, 48303, 48413, 33662]",8,8,7,9,3,1,47082,100.0
47082,267.0,"[63174, 48423, 47081, 61843, 48533, 63064]",7,8,6,9,2,4,63064,220.0
61843,145.0,"[77825, 77935, 63184, 61842, 76604, 63294]",6,8,5,9,1,4,77825,220.0
76604,0.0,['end'],5,8,4,9,0,0,0,0.0
18901,422.0,"[20352, 34883, 34993, 20242, 18900, 33662]",9,7,8,8,3,1,33662,100.0
20242,267.0,"[36224, 36334, 21583, 20241, 35003, 21693]",9,6,8,7,2,4,36224,220.0
21583,145.0,"[37675, 22924, 21582, 36344, 23034, 37565]",9,5,8,6,1,4,37565,220.0
22924,0.0,['end'],9,4,8,5,0,0,0,0.0
33662,267.0,"[48423, 35113, 49644, 49754, 35003, 33661]",8,7,7,8,2,4,49644,220.0
48423,145.0,"[64515, 49764, 48422, 63184, 49874, 64405]",7,7,6,8,1,4,64405,220.0
63184,0.0,['end'],6,7,5,8,0,0,0,0.0
35003,145.0,"[49764, 36454, 50985, 51095, 36344, 35002]",8,6,7,7,1,4,50985,220.0
49764,0.0,['end'],7,6,6,7,0,0,0,0.0
36344,0.0,['end'],8,5,7,6,0,0,0,0.0
2909,764.0,"[17670, 4360, 18891, 19001, 4250, 2908]",10,8,8,10,5,3,19001,200.0
17670,599.0,"[33762, 19011, 17669, 32431, 19121, 33652]",9,8,7,10,4,3,33762,200.0
32431,422.0,"[48523, 33772, 32430, 47192, 33882, 48413]",8,8,6,10,3,1,47192,100.0
47192,267.0,"[61953, 48643, 63174, 63284, 48533, 47191]",7,8,5,10,2,4,63174,220.0
61953,145.0,"[61952, 76714, 63404, 77935, 78045, 63294]",6,8,4,10,1,4,77935,220.0
76714,0.0,['end'],5,8,3,10,0,0,0,0.0
4360,599.0,"[20452, 5701, 4359, 19121, 5811, 20342]",10,7,7,10,4,3,20452,200.0
19121,422.0,"[35213, 20462, 19120, 33882, 20572, 35103]",9,7,6,10,3,1,33882,100.0
33882,267.0,"[48643, 35333, 49864, 49974, 35223, 33881]",8,7,5,10,2,4,49864,220.0
48643,145.0,"[49984, 48642, 63404, 50094, 64625, 64735]",7,7,4,10,1,4,64625,220.0
63404,0.0,['end'],6,7,3,10,0,0,0,0.0
5811,422.0,"[21793, 21903, 7152, 5810, 20572, 7262]",10,6,6,10,3,1,20572,100.0
20572,267.0,"[35333, 22023, 36554, 36664, 21913, 20571]",9,6,5,10,2,4,36554,220.0
35333,145.0,"[51425, 36674, 35332, 50094, 36784, 51315]",8,6,4,10,1,4,51315,220.0
50094,0.0,['end'],7,6,3,10,0,0,0,0.0
7262,267.0,"[22023, 8713, 23244, 23354, 8603, 7261]",10,5,5,10,2,4,23244,220.0
22023,145.0,"[38115, 23364, 22022, 36784, 23474, 38005]",9,5,4,10,1,4,38005,220.0
36784,0.0,['end'],8,5,3,10,0,0,0,0.0
8713,145.0,"[24805, 10054, 8712, 23474, 10164, 24695]",10,4,4,10,1,4,24695,220.0
23474,0.0,['end'],9,4,3,10,0,0,0,0.0
10164,0.0,['end'],10,3,3,10,0,0,0,0.0
19001,599.0,"[33762, 20452, 34983, 35093, 20342, 19000]",9,7,7,10,4,3,35093,200.0
33762,422.0,"[33761, 48523, 35213, 49744, 49854, 35103]",8,7,6,10,3,1,48523,100.0
48523,267.0,"[64615, 49864, 48522, 63284, 49974, 64505]",7,7,5,10,2,4,64505,220.0
63284,145.0,"[79266, 79376, 64625, 63283, 78045, 64735]",6,7,4,10,1,4,79266,220.0
78045,0.0,['end'],5,7,3,10,0,0,0,0.0
20452,422.0,"[36544, 21793, 20451, 35213, 21903, 36434]",9,6,6,10,3,1,35213,100.0
35213,267.0,"[51305, 36554, 35212, 49974, 36664, 51195]",8,6,5,10,2,4,51195,220.0
49974,145.0,"[51425, 65956, 66066, 51315, 49973, 64735]",7,6,4,10,1,4,65956,220.0
64735,0.0,['end'],6,6,3,10,0,0,0,0.0
21903,267.0,"[37995, 23244, 21902, 36664, 23354, 37885]",9,5,5,10,2,4,37885,220.0
36664,145.0,"[51425, 38115, 52646, 52756, 38005, 36663]",8,5,4,10,1,4,52646,220.0
51425,0.0,['end'],7,5,3,10,0,0,0,0.0
23354,145.0,"[38115, 24805, 39336, 39446, 24695, 23353]",9,4,4,10,1,4,39336,220.0
38115,0.0,['end'],8,4,3,10,0,0,0,0.0
24805,0.0,['end'],9,3,3,10,0,0,0,0.0
35093,422.0,"[36544, 51075, 51185, 36434, 35092, 49854]",8,6,6,10,3,1,49854,100.0
36544,267.0,"[51305, 37995, 52526, 52636, 37885, 36543]",8,5,5,10,2,4,52526,220.0
37995,145.0,"[54087, 39336, 37994, 52756, 39446, 53977]",8,4,4,10,1,4,53977,220.0
39446,0.0,['end'],8,3,3,10,0,0,0,0.0
51185,267.0,"[67277, 52526, 51184, 65946, 52636, 67167]",7,5,5,10,2,4,67167,220.0
67277,145.0,"[83369, 68618, 67276, 82038, 68728, 83259]",6,4,4,10,1,4,83259,220.0
83369,0.0,['end'],5,3,3,10,0,0,0,0.0
52636,145.0,"[67397, 54087, 68618, 68728, 53977, 52635]",7,4,4,10,1,4,68618,220.0
54087,0.0,['end'],7,3,3,10,0,0,0,0.0
68728,0.0,['end'],6,3,3,10,0,0,0,0.0
49854,267.0,"[64615, 51305, 65836, 65946, 51195, 49853]",7,6,5,10,2,4,65836,220.0
64615,145.0,"[80707, 65956, 64614, 79376, 66066, 80597]",6,6,4,10,1,4,80597,220.0
79376,0.0,['end'],5,6,3,10,0,0,0,0.0
51305,145.0,"[67397, 52646, 51304, 66066, 52756, 67287]",7,5,4,10,1,4,67287,220.0
66066,0.0,['end'],6,5,3,10,0,0,0,0.0
52756,0.0,['end'],7,4,3,10,0,0,0,0.0
65946,145.0,"[80707, 67397, 81928, 82038, 67287, 65945]",6,5,4,10,1,4,81928,220.0
80707,0.0,['end'],5,5,3,10,0,0,0,0.0
67397,0.0,['end'],6,4,3,10,0,0,0,0.0
82038,0.0,['end'],5,4,3,10,0,0,0,0.0
4250,599.0,"[19011, 5701, 20232, 20342, 5591, 4249]",10,7,8,9,4,3,20342,200.0
19011,422.0,"[20352, 19010, 33772, 20462, 34993, 35103]",9,7,7,9,3,1,33772,100.0
33772,267.0,"[49864, 35113, 33771, 48533, 35223, 49754]",8,7,6,9,2,4,49754,220.0
48533,145.0,"[49984, 64515, 64625, 49874, 48532, 63294]",7,7,5,9,1,4,64515,220.0
63294,0.0,['end'],6,7,4,9,0,0,0,0.0
5701,422.0,"[21793, 7042, 5700, 20462, 7152, 21683]",10,6,7,9,3,1,20462,100.0
20462,267.0,"[36554, 21803, 20461, 35223, 21913, 36444]",9,6,6,9,2,4,36444,220.0
35223,145.0,"[49984, 36674, 51205, 51315, 36564, 35222]",8,6,5,9,1,4,51205,220.0
49984,0.0,['end'],7,6,4,9,0,0,0,0.0
7152,267.0,"[23244, 8493, 7151, 21913, 8603, 23134]",10,5,6,9,2,4,23134,220.0
21913,145.0,"[36674, 23364, 37895, 38005, 23254, 21912]",9,5,5,9,1,4,37895,220.0
36674,0.0,['end'],8,5,4,9,0,0,0,0.0
8603,145.0,"[23364, 10054, 24585, 24695, 9944, 8602]",10,4,5,9,1,4,24585,220.0
23364,0.0,['end'],9,4,4,9,0,0,0,0.0
10054,0.0,['end'],10,3,4,9,0,0,0,0.0
5591,422.0,"[20352, 7042, 21573, 21683, 6932, 5590]",10,6,8,8,3,1,20352,100.0
20352,267.0,"[35113, 21803, 36334, 36444, 21693, 20351]",9,6,7,8,2,4,36334,220.0
35113,145.0,"[51205, 36454, 35112, 49874, 36564, 51095]",8,6,6,8,1,4,51095,220.0
49874,0.0,['end'],7,6,5,8,0,0,0,0.0
7042,267.0,"[7041, 21803, 8493, 23024, 23134, 8383]",10,5,7,8,2,4,23024,220.0
21803,145.0,"[37895, 23144, 21802, 36564, 23254, 37785]",9,5,6,8,1,4,37785,220.0
36564,0.0,['end'],8,5,5,8,0,0,0,0.0
8493,145.0,"[24585, 9834, 8492, 23254, 9944, 24475]",10,4,6,8,1,4,24475,220.0
23254,0.0,['end'],9,4,5,8,0,0,0,0.0
9944,0.0,['end'],10,3,5,8,0,0,0,0.0
6932,267.0,"[22914, 23024, 8273, 6931, 21693, 8383]",10,5,8,7,2,4,22914,220.0
8273,145.0,"[24365, 9614, 8272, 23034, 9724, 24255]",10,4,8,6,1,4,24255,220.0
9614,0.0,['end'],10,3,8,5,0,0,0,0.0
21693,145.0,"[36454, 23144, 37675, 37785, 23034, 21692]",9,5,7,7,1,4,37675,220.0
36454,0.0,['end'],8,5,6,7,0,0,0,0.0
23034,0.0,['end'],9,4,7,6,0,0,0,0.0
8383,145.0,"[23144, 9834, 24365, 24475, 9724, 8382]",10,4,7,7,1,4,24365,220.0
23144,0.0,['end'],9,4,6,7,0,0,0,0.0
9834,0.0,['end'],10,3,6,7,0,0,0,0.0
9724,0.0,['end'],10,3,7,6,0,0,0,0.0
15989,918.0,"[17440, 31971, 32081, 17330, 15988, 30750]",9,9,10,9,6,4,31971,220.0
17440,764.0,"[32201, 18891, 33422, 33532, 18781, 17439]",9,8,9,9,5,3,33532,200.0
18891,599.0,"[34983, 20232, 18890, 33652, 20342, 34873]",9,7,8,9,4,3,34983,200.0
20342,422.0,"[21793, 36324, 36434, 21683, 20341, 35103]",9,6,7,9,3,1,35103,100.0
21793,267.0,"[21792, 36554, 23244, 37775, 37885, 23134]",9,5,6,9,2,4,37775,220.0
23244,145.0,"[39336, 24585, 23243, 38005, 24695, 39226]",9,4,5,9,1,4,39226,220.0
24695,0.0,['end'],9,3,4,9,0,0,0,0.0
31971,764.0,"[33312, 31970, 46732, 33422, 47953, 48063]",8,8,10,8,5,3,48063,200.0
47953,599.0,"[64045, 49294, 47952, 62714, 49404, 63935]",7,7,10,7,4,3,64045,200.0
63935,422.0,"[78696, 65386, 79917, 80027, 65276, 63934]",6,6,10,6,3,1,78696,100.0
79917,267.0,"[96009, 81258, 79916, 94678, 81368, 95899]",5,5,10,5,2,4,95899,220.0
95899,145.0,"[110660, 97350, 111881, 111991, 97240, 95898]",4,4,10,4,1,4,111881,220.0
111881,0.0,['end'],3,3,10,3,0,0,0,0.0
32081,764.0,"[48173, 33422, 32080, 46842, 33532, 48063]",8,8,9,9,5,3,48173,200.0
48173,599.0,"[64265, 49514, 48172, 62934, 49624, 64155]",7,7,8,9,4,3,64265,200.0
64265,422.0,"[80357, 65606, 64264, 79026, 65716, 80247]",6,6,7,9,3,1,79026,100.0
80357,267.0,"[96449, 81698, 80356, 95118, 81808, 96339]",5,5,6,9,2,4,96339,220.0
96449,145.0,"[96448, 111210, 97900, 112431, 112541, 97790]",4,4,5,9,1,4,112431,220.0
112541,0.0,['end'],3,3,4,9,0,0,0,0.0
33532,599.0,"[48293, 34983, 49514, 49624, 34873, 33531]",8,7,8,9,4,3,49624,200.0
34983,422.0,"[51075, 36324, 34982, 49744, 36434, 50965]",8,6,7,9,3,1,49744,100.0
36434,267.0,"[52416, 52526, 37775, 36433, 51195, 37885]",8,5,6,9,2,4,52416,220.0
37885,145.0,"[52646, 39336, 53867, 53977, 39226, 37884]",8,4,5,9,1,4,53867,220.0
39336,0.0,['end'],8,3,4,9,0,0,0,0.0
49624,422.0,"[64385, 51075, 65606, 65716, 50965, 49623]",7,6,7,9,3,1,64385,100.0
51075,267.0,"[52416, 51074, 65836, 52526, 67057, 67167]",7,5,6,9,2,4,67057,220.0
52526,145.0,"[68618, 53867, 52525, 67287, 53977, 68508]",7,4,5,9,1,4,68508,220.0
53977,0.0,['end'],7,3,4,9,0,0,0,0.0
65716,267.0,"[81698, 81808, 67057, 65715, 80477, 67167]",6,5,6,9,2,4,81698,220.0
81808,145.0,"[97900, 83149, 81807, 96569, 83259, 97790]",5,4,5,9,1,4,97790,220.0
97900,0.0,['end'],4,3,4,9,0,0,0,0.0
67167,145.0,"[81928, 68618, 83149, 83259, 68508, 67166]",6,4,5,9,1,4,83149,220.0
68618,0.0,['end'],6,3,4,9,0,0,0,0.0
83259,0.0,['end'],5,3,4,9,0,0,0,0.0
48063,599.0,"[62824, 49514, 64045, 64155, 49404, 48062]",7,7,9,8,4,3,64155,200.0
64045,422.0,"[80137, 65386, 64044, 78806, 65496, 80027]",6,6,9,7,3,1,78806,100.0
80027,267.0,"[94788, 81478, 96009, 96119, 81368, 80026]",5,5,9,6,2,4,96009,220.0
96009,145.0,"[112101, 97350, 96008, 110770, 97460, 111991]",4,4,9,5,1,4,111991,220.0
111991,0.0,['end'],3,3,9,4,0,0,0,0.0
64155,422.0,"[78916, 65606, 80137, 80247, 65496, 64154]",6,6,8,8,3,1,78916,100.0
80137,267.0,"[96229, 81478, 80136, 94898, 81588, 96119]",5,5,8,7,2,4,96119,220.0
96119,145.0,"[110880, 97570, 112101, 112211, 97460, 96118]",4,4,8,6,1,4,112101,220.0
112101,0.0,['end'],3,3,8,5,0,0,0,0.0
80247,267.0,"[95008, 81698, 96229, 96339, 81588, 80246]",5,5,7,8,2,4,96229,220.0
96229,145.0,"[112321, 97570, 96228, 110990, 97680, 112211]",4,4,7,7,1,4,112211,220.0
112211,0.0,['end'],3,3,7,6,0,0,0,0.0
96339,145.0,"[112321, 112431, 97680, 96338, 111100, 97790]",4,4,6,8,1,4,112321,220.0
112321,0.0,['end'],3,3,6,7,0,0,0,0.0
112431,0.0,['end'],3,3,5,8,0,0,0,0.0
17330,764.0,"[33312, 33422, 18671, 17329, 32091, 18781]",9,8,10,8,5,3,33422,200.0
33312,599.0,"[48073, 34763, 49294, 49404, 34653, 33311]",8,7,10,7,4,3,49404,200.0
49294,422.0,"[65386, 50635, 49293, 64055, 50745, 65276]",7,6,10,6,3,1,64055,100.0
65276,267.0,"[80037, 66727, 81258, 81368, 66617, 65275]",6,5,10,5,2,4,81258,220.0
81258,145.0,"[97350, 82599, 81257, 96019, 82709, 97240]",5,4,10,4,1,4,97240,220.0
97240,0.0,['end'],4,3,10,3,0,0,0,0.0
33422,599.0,"[49514, 34763, 33421, 48183, 34873, 49404]",8,7,9,8,4,3,49514,200.0
49514,422.0,"[65606, 50855, 49513, 64275, 50965, 65496]",7,6,8,8,3,1,64275,100.0
65606,267.0,"[81698, 66947, 65605, 80367, 67057, 81588]",6,5,7,8,2,4,81588,220.0
81698,145.0,"[81697, 96459, 83149, 97680, 97790, 83039]",5,4,6,8,1,4,97680,220.0
97790,0.0,['end'],4,3,5,8,0,0,0,0.0
49404,422.0,"[64165, 50855, 65386, 65496, 50745, 49403]",7,6,9,7,3,1,64165,100.0
65386,267.0,"[81478, 66727, 65385, 80147, 66837, 81368]",6,5,9,6,2,4,81368,220.0
81368,145.0,"[96129, 82819, 97350, 97460, 82709, 81367]",5,4,9,5,1,4,97350,220.0
97350,0.0,['end'],4,3,9,4,0,0,0,0.0
65496,267.0,"[80257, 66947, 81478, 81588, 66837, 65495]",6,5,8,7,2,4,81478,220.0
81478,145.0,"[97570, 82819, 81477, 96239, 82929, 97460]",5,4,8,6,1,4,97460,220.0
97460,0.0,['end'],4,3,8,5,0,0,0,0.0
81588,145.0,"[97570, 97680, 82929, 81587, 96349, 83039]",5,4,7,7,1,4,97570,220.0
97570,0.0,['end'],4,3,7,6,0,0,0,0.0
97680,0.0,['end'],4,3,6,7,0,0,0,0.0
18671,599.0,"[34763, 20012, 18670, 33432, 20122, 34653]",9,7,10,7,4,3,34763,200.0
20012,422.0,"[36104, 21353, 20011, 34773, 21463, 35994]",9,6,10,6,3,1,34773,100.0
21353,267.0,"[37445, 22694, 21352, 36114, 22804, 37335]",9,5,10,5,2,4,37335,220.0
22694,145.0,"[38786, 24035, 22693, 37455, 24145, 38676]",9,4,10,4,1,4,38676,220.0
24035,0.0,['end'],9,3,10,3,0,0,0,0.0
34653,422.0,"[49414, 36104, 50635, 50745, 35994, 34652]",8,6,10,6,3,1,49414,100.0
50635,267.0,"[66727, 51976, 50634, 65396, 52086, 66617]",7,5,10,5,2,4,66617,220.0
66617,145.0,"[81378, 68068, 82599, 82709, 67958, 66616]",6,4,10,4,1,4,82599,220.0
82599,0.0,['end'],5,3,10,3,0,0,0,0.0
35994,267.0,"[50755, 37445, 51976, 52086, 37335, 35993]",8,5,10,5,2,4,51976,220.0
51976,145.0,"[68068, 53317, 51975, 66737, 53427, 67958]",7,4,10,4,1,4,67958,220.0
67958,0.0,['end'],6,3,10,3,0,0,0,0.0
37335,145.0,"[52096, 38786, 53317, 53427, 38676, 37334]",8,4,10,4,1,4,53317,220.0
53317,0.0,['end'],7,3,10,3,0,0,0,0.0
38676,0.0,['end'],8,3,10,3,0,0,0,0.0
18781,599.0,"[33542, 20232, 34763, 34873, 20122, 18780]",9,7,9,8,4,3,34873,200.0
20232,422.0,"[36324, 21573, 20231, 34993, 21683, 36214]",9,6,8,8,3,1,34993,100.0
21683,267.0,"[37665, 37775, 23024, 21682, 36444, 23134]",9,5,7,8,2,4,37665,220.0
23134,145.0,"[37895, 24585, 39116, 39226, 24475, 23133]",9,4,6,8,1,4,39116,220.0
24585,0.0,['end'],9,3,5,8,0,0,0,0.0
34763,422.0,"[50855, 36104, 34762, 49524, 36214, 50745]",8,6,9,7,3,1,49524,100.0
50745,267.0,"[65506, 52196, 66727, 66837, 52086, 50744]",7,5,9,6,2,4,66727,220.0
66727,145.0,"[82819, 68068, 66726, 81488, 68178, 82709]",6,4,9,5,1,4,82709,220.0
82709,0.0,['end'],5,3,9,4,0,0,0,0.0
34873,422.0,"[49634, 36324, 50855, 50965, 36214, 34872]",8,6,8,8,3,1,49634,100.0
36324,267.0,"[52416, 37665, 36323, 51085, 37775, 52306]",8,5,7,8,2,4,52306,220.0
37775,145.0,"[53867, 39116, 37774, 52536, 39226, 53757]",8,4,6,8,1,4,53757,220.0
39226,0.0,['end'],8,3,5,8,0,0,0,0.0
50855,267.0,"[66947, 52196, 50854, 65616, 52306, 66837]",7,5,8,7,2,4,66837,220.0
66837,145.0,"[68288, 82819, 82929, 68178, 66836, 81598]",6,4,8,6,1,4,82819,220.0
82819,0.0,['end'],5,3,8,5,0,0,0,0.0
50965,267.0,"[52416, 66947, 67057, 52306, 50964, 65726]",7,5,7,8,2,4,66947,220.0
52416,145.0,"[67177, 53867, 68398, 68508, 53757, 52415]",7,4,6,8,1,4,68398,220.0
53867,0.0,['end'],7,3,5,8,0,0,0,0.0
66947,145.0,"[68288, 66946, 81708, 68398, 82929, 83039]",6,4,7,7,1,4,82929,220.0
82929,0.0,['end'],5,3,7,6,0,0,0,0.0
67057,145.0,"[83149, 68398, 67056, 81818, 68508, 83039]",6,4,6,8,1,4,83039,220.0
83149,0.0,['end'],5,3,5,8,0,0,0,0.0
68508,0.0,['end'],6,3,5,8,0,0,0,0.0
83039,0.0,['end'],5,3,6,7,0,0,0,0.0
20122,422.0,"[34883, 21573, 36104, 36214, 21463, 20121]",9,6,9,7,3,1,34883,100.0
21573,267.0,"[37665, 22914, 21572, 36334, 23024, 37555]",9,5,8,7,2,4,37555,220.0
23024,145.0,"[39116, 24365, 23023, 37785, 24475, 39006]",9,4,7,7,1,4,39006,220.0
24475,0.0,['end'],9,3,6,7,0,0,0,0.0
36104,267.0,"[52196, 37445, 36103, 50865, 37555, 52086]",8,5,9,6,2,4,52086,220.0
52086,145.0,"[53537, 68068, 68178, 53427, 52085, 66847]",7,4,9,5,1,4,68068,220.0
68068,0.0,['end'],6,3,9,4,0,0,0,0.0
36214,267.0,"[37665, 52196, 52306, 37555, 36213, 50975]",8,5,8,7,2,4,52196,220.0
37665,145.0,"[37664, 52426, 39116, 53647, 53757, 39006]",8,4,7,7,1,4,53647,220.0
39116,0.0,['end'],8,3,6,7,0,0,0,0.0
52196,145.0,"[68288, 53537, 52195, 66957, 53647, 68178]",7,4,8,6,1,4,68178,220.0
68178,0.0,['end'],6,3,8,5,0,0,0,0.0
52306,145.0,"[68288, 68398, 53647, 52305, 67067, 53757]",7,4,7,7,1,4,68288,220.0
68288,0.0,['end'],6,3,7,6,0,0,0,0.0
68398,0.0,['end'],6,3,6,7,0,0,0,0.0
53757,0.0,['end'],7,3,6,7,0,0,0,0.0
21463,267.0,"[36224, 22914, 37445, 37555, 22804, 21462]",9,5,9,6,2,4,37445,220.0
22914,145.0,"[22913, 37675, 24365, 38896, 39006, 24255]",9,4,8,6,1,4,38896,220.0
24365,0.0,['end'],9,3,7,6,0,0,0,0.0
37445,145.0,"[53537, 38786, 37444, 52206, 38896, 53427]",8,4,9,5,1,4,53427,220.0
53427,0.0,['end'],7,3,9,4,0,0,0,0.0
37555,145.0,"[53537, 53647, 38896, 37554, 52316, 39006]",8,4,8,6,1,4,53537,220.0
53537,0.0,['end'],7,3,8,5,0,0,0,0.0
53647,0.0,['end'],7,3,7,6,0,0,0,0.0
39006,0.0,['end'],8,3,7,6,0,0,0,0.0
22804,145.0,"[38786, 38896, 24145, 22803, 37565, 24255]",9,4,9,5,1,4,38786,220.0
38786,0.0,['end'],8,3,9,4,0,0,0,0.0
38896,0.0,['end'],8,3,8,5,0,0,0,0.0
24145,0.0,['end'],9,3,9,4,0,0,0,0.0
24255,0.0,['end'],9,3,8,5,0,0,0,0.0
30750,764.0,"[45511, 32201, 46732, 46842, 32091, 30749]",8,9,9,9,5,3,46842,200.0
45511,599.0,"[61603, 46852, 45510, 60272, 46962, 61493]",7,9,8,9,4,3,61603,200.0
60272,422.0,"[76364, 61613, 60271, 75033, 61723, 76254]",6,9,7,9,3,1,75033,100.0
75033,267.0,"[89794, 76484, 91015, 91125, 76374, 75032]",5,9,6,9,2,4,91015,220.0
89794,145.0,"[89793, 104555, 91245, 105776, 105886, 91135]",4,9,5,9,1,4,105776,220.0
104555,0.0,['end'],3,9,4,9,0,0,0,0.0
32201,599.0,"[48293, 33542, 32200, 46962, 33652, 48183]",8,8,8,9,4,3,48293,200.0
46962,422.0,"[62944, 63054, 48303, 46961, 61723, 48413]",7,8,7,9,3,1,61723,100.0
61723,267.0,"[76484, 63174, 77705, 77815, 63064, 61722]",6,8,6,9,2,4,77705,220.0
76484,145.0,"[92576, 77825, 76483, 91245, 77935, 92466]",5,8,5,9,1,4,92466,220.0
91245,0.0,['end'],4,8,4,9,0,0,0,0.0
33652,422.0,"[49634, 49744, 34993, 33651, 48413, 35103]",8,7,7,9,3,1,48413,100.0
48413,267.0,"[63174, 49864, 64395, 64505, 49754, 48412]",7,7,6,9,2,4,64395,220.0
63174,145.0,"[79266, 64515, 63173, 77935, 64625, 79156]",6,7,5,9,1,4,79156,220.0
