,Value,Successor,Res_Cap1,Res_Cap2,Res_Cap3,Res_Cap4,Time,Best Order,Best Successor,"r[j]-OC[j,c,t]"
44291,764.0,"[45632, 44290, 59052, 45742, 60273, 60383]",7,10,7,10,5,3,60383,200.0
59052,599.0,"[75144, 60393, 59051, 73813, 60503, 75034]",6,10,6,10,4,3,75144,200.0
73813,422.0,"[75264, 89795, 89905, 75154, 73812, 88574]",5,10,5,10,3,1,88574,100.0
88574,267.0,"[103335, 90025, 104556, 104666, 89915, 88573]",4,10,4,10,2,4,104556,220.0
103335,145.0,"[119427, 104676, 103334, 118096, 104786, 119317]",3,10,3,10,1,4,119317,220.0
118096,0.0,['end'],2,10,2,10,0,0,0,0.0
45622,764.0,"[47073, 61604, 61714, 46963, 45621, 60383]",7,9,7,10,5,3,61714,200.0
61714,599.0,"[77696, 77806, 63055, 61713, 76475, 63165]",6,8,6,10,4,3,77806,200.0
77806,422.0,"[93898, 79147, 77805, 92567, 79257, 93788]",5,7,5,10,3,1,92567,100.0
93898,267.0,"[109990, 95239, 93897, 108659, 95349, 109880]",4,6,4,10,2,4,109880,220.0
109990,145.0,"[126082, 111331, 109989, 124751, 111441, 125972]",3,5,3,10,1,4,125972,220.0
126082,0.0,['end'],2,4,2,10,0,0,0,0.0
60383,599.0,"[75144, 61834, 76365, 76475, 61724, 60382]",6,9,6,10,4,3,76475,200.0
75144,422.0,"[91236, 76485, 75143, 89905, 76595, 91126]",5,9,5,10,3,1,89905,100.0
89905,267.0,"[105997, 91246, 89904, 104666, 91356, 105887]",4,9,4,10,2,4,105887,220.0
104666,145.0,"[119427, 106117, 120648, 120758, 106007, 104665]",3,9,3,10,1,4,120648,220.0
119427,0.0,['end'],2,9,2,10,0,0,0,0.0
76475,422.0,"[91236, 77926, 92457, 92567, 77816, 76474]",5,8,5,10,3,1,91236,100.0
91236,267.0,"[107328, 92577, 91235, 105997, 92687, 107218]",4,8,4,10,2,4,107218,220.0
105997,145.0,"[122089, 107338, 105996, 120758, 107448, 121979]",3,8,3,10,1,4,121979,220.0
120758,0.0,['end'],2,8,2,10,0,0,0,0.0
92567,267.0,"[107328, 94018, 108549, 108659, 93908, 92566]",4,7,4,10,2,4,108549,220.0
107328,145.0,"[122089, 108779, 123310, 123420, 108669, 107327]",3,7,3,10,1,4,123310,220.0
122089,0.0,['end'],2,7,2,10,0,0,0,0.0
108659,145.0,"[124641, 124751, 110000, 108658, 123420, 110110]",3,6,3,10,1,4,124641,220.0
124751,0.0,['end'],2,5,2,10,0,0,0,0.0
123420,0.0,['end'],2,6,2,10,0,0,0,0.0
30871,764.0,"[45632, 32322, 46853, 46963, 32212, 30870]",8,9,8,9,5,3,46963,200.0
45632,599.0,"[60393, 47083, 61614, 61724, 46973, 45631]",7,9,7,9,4,3,61724,200.0
60393,422.0,"[76485, 61734, 60392, 75154, 61844, 76375]",6,9,6,9,3,1,75154,100.0
75154,267.0,"[91136, 91246, 76495, 75153, 89915, 76605]",5,9,5,9,2,4,91136,220.0
89915,145.0,"[104676, 91366, 105897, 106007, 91256, 89914]",4,9,4,9,1,4,105897,220.0
104676,0.0,['end'],3,9,3,9,0,0,0,0.0
32212,599.0,"[48194, 48304, 33553, 32211, 46973, 33663]",8,8,8,8,4,3,48304,200.0
33553,422.0,"[49645, 34894, 33552, 48314, 35004, 49535]",8,7,8,7,3,1,48314,100.0
34894,267.0,"[50986, 36235, 34893, 49655, 36345, 50876]",8,6,8,6,2,4,50876,220.0
36235,145.0,"[52327, 37576, 36234, 50996, 37686, 52217]",8,5,8,5,1,4,52217,220.0
37576,0.0,['end'],8,4,8,4,0,0,0,0.0
46973,422.0,"[61734, 48424, 62955, 63065, 48314, 46972]",7,8,7,8,3,1,61734,100.0
61734,267.0,"[77826, 63075, 61733, 76495, 63185, 77716]",6,8,6,8,2,4,77716,220.0
76495,145.0,"[92587, 77836, 76494, 91256, 77946, 92477]",5,8,5,8,1,4,92477,220.0
91256,0.0,['end'],4,8,4,8,0,0,0,0.0
48314,267.0,"[63075, 49765, 64296, 64406, 49655, 48313]",7,7,7,7,2,4,64296,220.0
63075,145.0,"[64416, 63074, 77836, 64526, 79057, 79167]",6,7,6,7,1,4,79057,220.0
77836,0.0,['end'],5,7,5,7,0,0,0,0.0
49655,145.0,"[64416, 51106, 65637, 65747, 50996, 49654]",7,6,7,6,1,4,65637,220.0
64416,0.0,['end'],6,6,6,6,0,0,0,0.0
50996,0.0,['end'],7,5,7,5,0,0,0,0.0
1459,990.0,"[17441, 17551, 2800, 1458, 16220, 2910]",10,9,9,10,7,4,17441,220.0
17551,918.0,"[33643, 18892, 17550, 32312, 19002, 33533]",9,8,8,10,6,4,33533,220.0
33643,764.0,"[49735, 34984, 33642, 48404, 35094, 49625]",8,7,7,10,5,3,49735,200.0
49735,599.0,"[65827, 51076, 49734, 64496, 51186, 65717]",7,6,6,10,4,3,65827,200.0
65827,422.0,"[67168, 65826, 80588, 67278, 81809, 81919]",6,5,5,10,3,1,80588,100.0
81919,267.0,"[96680, 83370, 97901, 98011, 83260, 81918]",5,4,4,10,2,4,97901,220.0
98011,145.0,"[112772, 99462, 113993, 114103, 99352, 98010]",4,3,3,10,1,4,113993,220.0
114103,0.0,['end'],3,2,2,10,0,0,0,0.0
2800,918.0,"[18892, 4141, 2799, 17561, 4251, 18782]",10,8,9,9,6,4,18782,220.0
4141,764.0,"[20233, 5482, 4140, 18902, 5592, 20123]",10,7,9,8,5,3,20233,200.0
5482,599.0,"[21574, 6823, 5481, 20243, 6933, 21464]",10,6,9,7,4,3,21574,200.0
6823,422.0,"[22915, 8164, 6822, 21584, 8274, 22805]",10,5,9,6,3,1,21584,100.0
